"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sia519906ky","GrannyPods","sia519906ky_GrannyPods_US_0808_Searchalike_Facebook_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sib0kz065d","AlternativeStorage","sib0kz065d_AlternativeStorage_Facebook_0625_TriviaLibrary_RSOC_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sigz6w06g4","GraphicDesignTraining","sigz6w06g4_GraphicDesignTraining_0916_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sijb1sp06ai","PlumbingTraining","sijb1sp06ai_PlumbingTraining_0915_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si5b1c706s5","Internet","si5b1c706s5_Internet_0905_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sii8148062o","Parkinsons","sii8148062o_Parkinsons_WH_Facebook_TriviaLibrary_RSOC_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6mkc06sk","BankAccountBonus","si6mkc06sk_BankAccountBonus_0922_Desktop_Founddelights_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si6x29v06lk","FirefighterTraining","si6x29v06lk_FirefighterTraining_0926_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
