"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-04",847,51,0,47,13,15,0.29411764705882354,1.1602739726027398,28.09,23.301243,-4.788757
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-05",1028,79,2,82,25,36,0.45569620253164556,1.1511758118701008,37.34,36.3323478457,-1.007652154300004
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-06",936,66,0,30,14,13,0.19696969696969696,1.164179104477612,30.05,15.822833999999999,-14.227166000000002
"Total","tj","sijeaf06nf","CDL","sijeaf06nf_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-07",862,62,1,47,18,23,0.3709677419354839,1.1493333333333333,29.12,22.741940999999997,-6.378059000000004
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ",,4708,682,15,548,269,343,0.5029325513196481,1.1320028853089685,160.13,178.0182054539,17.888205453900014
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-01",639,87,2,73,41,53,0.6091954022988506,1.109375,23.57,25.850913676400005,2.2809136764000044
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-02",651,98,3,73,33,47,0.47959183673469385,1.1625,23.29,21.948092999999997,-1.3419070000000026
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-03",609,86,5,68,36,41,0.47674418604651164,1.1032608695652173,21.17,21.232547279999995,0.06254727999999332
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-04",694,100,1,81,44,50,0.5,1.1339869281045751,21.77,36.1716225814,14.401622581400002
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-05",786,108,0,89,40,54,0.5,1.1541850220264318,25.16,29.9635218454,4.803521845399999
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-06",723,108,2,95,41,60,0.5555555555555556,1.160513643659711,23.14,30.00122579219999,6.861225792199988
"Total","tj","sik115w06si","SeniorLiving","sik115w06si_SeniorLiving_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-07",606,95,2,69,34,38,0.4,1.0918918918918918,22.03,12.850281278499999,-9.179718721500002
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ",,2954,396,380,308,106,126,0.3181818181818182,1.1227670087419233,83.35999999999999,64.0962662436,-19.263733756399986
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-01",564,79,83,52,21,26,0.3291139240506329,1.1146245059288538,15.51,13.044365999999998,-2.4656340000000014
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-02",454,69,58,86,17,24,0.34782608695652173,1.1435768261964736,12.59,12.6024443929,0.012444392900000878
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-03",510,71,66,43,16,18,0.2535211267605634,1.120879120879121,13.09,8.537113559999998,-4.552886440000002
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-04",527,68,65,52,22,24,0.35294117647058826,1.1309012875536482,14.41,12.754400290700003,-1.655599709299997
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-05",584,72,70,39,15,16,0.2222222222222222,1.1317829457364341,17.85,10.599675000000001,-7.250325
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-06",315,37,37,36,15,18,0.4864864864864865,1.0824742268041236,9.91,6.558267000000001,-3.3517329999999994
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ","2025-10-07",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ",,5965,744,21,476,208,272,0.3655913978494624,1.1046296296296296,192.08,240.18022074319998,48.10022074319997
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-01",563,68,5,56,22,31,0.45588235294117646,1.0826923076923076,17.71,18.334784514200003,0.6247845142000017
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-02",622,53,4,33,11,17,0.32075471698113206,1.1288566243194191,17.77,16.213779798,-1.5562202019999987
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-03",660,79,1,55,21,27,0.34177215189873417,1.059390048154093,19.43,25.330968,5.900967999999999
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-04",579,75,3,37,22,29,0.38666666666666666,1.0742115027829313,17.13,19.9551629573,2.8251629573000017
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-05",876,114,2,72,37,43,0.37719298245614036,1.0774907749077491,25.66,53.7158148454,28.055814845399997
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-06",1391,169,3,110,48,62,0.3668639053254438,1.1199677938808374,45.98,52.37330579279999,6.393305792799993
"Total","tj","sil3j106m3","MedicareMobilityScooters","sil3j106m3_MedicareMobilityScooters_0901_Facebook_KnowledgeWarehouse_TJ","2025-10-07",1274,186,3,113,47,63,0.3387096774193548,1.14568345323741,48.4,54.25640483550001,5.856404835500008
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ",,97,8,27,2,1,1,0.125,1.0319148936170213,2.75,0.586365,-2.163635
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ","2025-10-07",97,8,27,2,1,1,0.125,1.0319148936170213,2.75,0.586365,-2.163635
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ",,16795,2634,1267,2166,748,937,0.3557327258921792,1.0575530508154398,305.47,344.28225984230005,38.81225984230002
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-01",3221,489,195,391,146,176,0.35991820040899797,1.0366913421306727,61.92,46.35060552920002,-15.569394470799985
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-02",2121,331,162,301,122,145,0.4380664652567976,1.086021505376344,38.55,38.08540908320002,-0.46459091679997755
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-03",2247,376,183,327,118,151,0.4015957446808511,1.0373961218836565,39.74,50.38300668,10.64300668
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-04",2086,367,180,330,89,120,0.32697547683923706,1.0519415027735755,37.41,47.6553555814,10.245355581400005
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-05",2642,408,210,308,99,123,0.3014705882352941,1.0459224069675377,45.06,69.16516426809997,24.10516426809997
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-06",2482,385,188,286,94,116,0.3012987012987013,1.0629550321199144,45.73,47.20433444430002,1.4743344443000197
"Total","tj","sill6l062x","DisabilityPay","sill6l062x_0910_DisabilityPay_KnowledgeWarehouse_TJ","2025-10-07",1996,278,149,223,80,106,0.381294964028777,1.102153506350083,37.06,45.43838425609999,8.378384256099984
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ",,1963,349,31,218,87,112,0.3209169054441261,1.2102342786683107,68.16999999999999,69.1309657976,0.9609657976000108
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-01",272,35,0,33,11,16,0.45714285714285713,1.152542372881356,9.92,10.906388999999999,0.9863889999999991
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-02",287,68,6,46,16,23,0.3382352941176471,1.2755555555555556,8.34,10.3681717976,2.0281717976000007
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-03",337,38,9,16,8,9,0.23684210526315788,1.702020202020202,7.33,5.845608,-1.4843919999999997
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-04",249,34,1,22,14,16,0.47058823529411764,1.1017699115044248,9.63,10.996599,1.366598999999999
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-05",333,55,5,35,14,18,0.32727272727272727,1.099009900990099,14.15,11.790447,-2.359553
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-06",268,67,4,38,13,16,0.23880597014925373,1.098360655737705,9.62,10.572612000000003,0.9526120000000038
"Total","tj","sily1xc06o8","CaribbeanCruise","sily1xc06o8_CaribbeanCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-07",217,52,6,28,11,14,0.2692307692307692,1.1421052631578947,9.18,8.651138999999999,-0.5288610000000009
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ",,8211,1035,404,424,224,286,0.2763285024154589,1.2189726840855106,319.31,297.88122258299995,-21.42877741700005
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-01",1671,194,69,85,52,66,0.3402061855670103,1.18342776203966,68.84,70.01772967639998,1.1777296763999772
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-02",1677,187,87,92,47,59,0.3155080213903743,1.2782012195121952,64.23,59.56577039279998,-4.664229607200021
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-03",1526,171,79,55,32,38,0.2222222222222222,1.22570281124498,55.97,36.29761727999998,-19.672382720000016
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-04",883,126,51,56,30,37,0.29365079365079366,1.167989417989418,35.34,48.594833290699995,13.254833290699992
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-05",1173,169,81,44,24,30,0.17751479289940827,1.26264800861141,42.39,29.934068423,-12.455931577000001
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-06",810,116,37,55,22,27,0.23275862068965517,1.187683284457478,33.68,29.200602684600003,-4.479397315399996
"Total","tj","simg1g6069j","SUV","simg1g6069j_SUV_0918_TJ","2025-10-07",471,72,0,37,17,29,0.4027777777777778,1.1775,18.86,24.270600835499994,5.410600835499995
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ",,24575,3318,34,2376,807,1020,0.3074141048824593,1.103502469690166,235.17000000000002,161.87532043779,-73.29467956221
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-01",4627,663,15,496,177,209,0.3152337858220211,1.0980066445182723,44.81,30.56443671432998,-14.245563285670023
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-02",3785,500,5,343,124,154,0.308,1.078962371721779,34.39,21.839310352880005,-12.550689647119995
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-03",3680,478,4,305,94,121,0.25313807531380755,1.1091018685955394,34.91,23.0061274285,-11.903872571499996
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-04",3052,399,3,326,100,125,0.3132832080200501,1.0911691097604577,28.57,19.467318000000006,-9.102681999999994
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-05",3432,495,2,328,112,152,0.30707070707070705,1.1267235718975706,34.26,28.537506830799998,-5.7224931692
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-06",2850,378,4,293,94,129,0.3412698412698413,1.1189634864546525,26.93,23.82639407127999,-3.103605928720011
"Total","tj","sin1r206fp","DisabilityPayCanada","sin1r206fp_0910_DisabilityPayCanada_KnowledgeWarehouse_TJ","2025-10-07",3149,405,1,285,106,130,0.32098765432098764,1.1088028169014084,31.3,14.634227040000006,-16.665772959999995
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ",,52539,3231,28,1611,584,703,0.2175796966883318,1.3192135790689499,1229.42,1980.8996281429595,751.4796281429594
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-01",3240,195,1,133,46,55,0.28205128205128205,1.2130288281542494,80.25,154.69210799999996,74.44210799999996
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-02",3345,193,1,114,38,40,0.20725388601036268,1.2713797035347776,85.69,128.01701099999997,42.32701099999997
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-03",5820,328,3,184,76,83,0.2530487804878049,1.3385464581416744,128.64,252.09442242849994,123.45442242849995
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-04",7808,448,6,243,89,106,0.23660714285714285,1.3576769257520431,174.65,304.60759649999994,129.95759649999994
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-05",10257,642,2,335,119,144,0.22429906542056074,1.358723009670155,233.38,400.01113248589974,166.63113248589974
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-06",9909,598,11,230,99,111,0.18561872909698995,1.2890594510212046,231.75,327.8347384285601,96.08473842856012
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-07",12160,827,4,372,117,164,0.19830713422007254,1.3233213624986397,295.06,413.6426193,118.58261929999998
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ",,23496,1496,15,850,307,394,0.26336898395721925,1.2601094068432908,523.65,616.4779405535999,92.82794055359989
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-01",1768,112,4,73,37,44,0.39285714285714285,1.2468265162200283,44.79,72.94216983819999,28.15216983819999
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-02",1750,130,0,67,29,36,0.27692307692307694,1.3237518910741302,41.55,66.8787585952,25.3287585952
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-03",1940,114,3,53,25,30,0.2631578947368421,1.2178279974890145,44.39,49.642562999999996,5.252562999999995
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-04",3708,265,1,162,51,67,0.2528301886792453,1.3223965763195435,84.33,108.34734987209997,24.01734987209997
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-05",5256,292,1,185,56,74,0.2534246575342466,1.325264750378215,110.84,109.72296369109999,-1.117036308900012
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-06",4684,319,4,172,56,78,0.2445141065830721,1.2053525476067937,100.53,130.47974399999998,29.94974399999998
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ","2025-10-07",4390,264,2,138,53,65,0.24621212121212122,1.2004375170905113,97.22,78.464391557,-18.755608443
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ",,10266,811,10,509,213,279,0.344019728729963,1.1175702155453953,448.92,505.05220287410003,56.13220287410002
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-01",1435,105,1,76,26,37,0.3523809523809524,1.1106811145510835,59.88,71.071815838,11.191815838000004
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-02",1454,103,0,79,34,47,0.4563106796116505,1.1124713083397093,64.43,69.21824039279998,4.7882403927999775
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-03",1408,103,4,72,26,40,0.3883495145631068,1.1309236947791164,60.34,66.28342128000001,5.94342128000001
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-04",1321,101,1,53,23,29,0.2871287128712871,1.1368330464716008,52.49,64.3342638333,11.844263833299998
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-05",1898,169,0,107,39,54,0.31952662721893493,1.1224127735068008,85.02,115.09469884540002,30.07469884540002
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-06",1464,132,3,74,38,39,0.29545454545454547,1.110773899848255,64.75,64.5358596846,-0.21414031540000167
"Total","tj","sio24zp069r","BankAccountBonus","sio24zp069r_BankAccountBonus_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-07",1286,98,1,48,27,33,0.336734693877551,1.0982066609735268,62.01,54.513903000000006,-7.496096999999992
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ",,850,43,169,26,14,16,0.37209302325581395,1.1111111111111112,18.209999999999997,25.782018,7.5720180000000035
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-06",21,0,130,0,0,0,0,1,0.31,0,-0.31
"Total","tj","sipue406ch","OnlineHighSchool","sipue406ch_1006_OnlineHighSchool_FB_TJ","2025-10-07",829,43,39,26,14,16,0.37209302325581395,1.114247311827957,17.9,25.782018,7.882018000000002
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ",,5075,548,541,435,165,202,0.3686131386861314,1.1715143120960296,210.02,173.80244335979998,-36.21755664020003
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-01",769,71,89,60,19,22,0.30985915492957744,1.1904024767801857,28.15,13.2051078382,-14.944892161799999
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-02",727,75,72,74,22,27,0.36,1.1430817610062893,29.68,20.721237,-8.958763000000001
